name,rank,lineage,,,,,,,
Megasphaera elsdenii DSM 20460,strain,sk__Bacteria__2,p__Bacillota__1239,c__Negativicutes__909932,o__Veillonellales__1843489,f__Veillonellaceae__31977,g__Megasphaera__906,s__Megasphaera elsdenii__907,st__Megasphaera elsdenii DSM 20460__1064535
Enterococcus faecium OC2A-1,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecium__1352,st__Enterococcus faecium OC2A-1__1244151
Granulicatella adiacens ATCC 49175,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Carnobacteriaceae__186828,g__Granulicatella__117563,s__Granulicatella adiacens__46124,st__Granulicatella adiacens ATCC 49175__638301
Lactobacillus intestinalis,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Lactobacillus__1578,s__Lactobacillus intestinalis__151781,
Prescottella equi,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Mycobacteriales__85007,f__Nocardiaceae__85025,g__Prescottella__2979332,s__Prescottella equi__43767,
Oxalobacter formigenes OXCC13,strain,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Burkholderiales__80840,f__Oxalobacteraceae__75682,g__Oxalobacter__846,s__Oxalobacter formigenes__847,st__Oxalobacter formigenes OXCC13__556269
Faecalicoccus pleomorphus DSM 20574,strain,sk__Bacteria__2,p__Bacillota__1239,c__Erysipelotrichia__526524,o__Erysipelotrichales__526525,f__Erysipelotrichaceae__128827,g__Faecalicoccus__1573536,s__Faecalicoccus pleomorphus__1323,st__Faecalicoccus pleomorphus DSM 20574__1123313
Gemella sanguinis ATCC 700632,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Gemellaceae__539738,g__Gemella__1378,s__Gemella sanguinis__84135,st__Gemella sanguinis ATCC 700632__1408440
Metabacillus idriensis,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Metabacillus__2675233,s__Metabacillus idriensis__324768,
Eggerthia catenaformis OT 569 = DSM 20559,strain,sk__Bacteria__2,p__Bacillota__1239,c__Erysipelotrichia__526524,o__Erysipelotrichales__526525,f__Coprobacillaceae__2810280,g__Eggerthia__1279384,s__Eggerthia catenaformis__31973,st__Eggerthia catenaformis OT 569 = DSM 20559__999415
Maledivibacter,genus,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Peptostreptococcales__3082720,f__Caminicellaceae__3118654,g__Maledivibacter__1884930,,
Maledivibacter halophilus,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Peptostreptococcales__3082720,f__Caminicellaceae__3118654,g__Maledivibacter__1884930,s__Maledivibacter halophilus__36842,
Neobacillus drentensis,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Neobacillus__2675232,s__Neobacillus drentensis__220684,
Bacteroides xylanisolvens CL03T12C04,strain,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides xylanisolvens__371601,st__Bacteroides xylanisolvens CL03T12C04__997892
Lactococcus lactis subsp. lactis IO-1,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Lactococcus__1357,s__Lactococcus lactis__1358,st__Lactococcus lactis subsp. lactis IO-1__1046624
Clostridium perfringens ATCC 13124,strain,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Clostridiaceae__31979,g__Clostridium__1485,s__Clostridium perfringens__1502,st__Clostridium perfringens ATCC 13124__195103
Bacteroides salyersiae CL02T12C01,strain,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides salyersiae__291644,st__Bacteroides salyersiae CL02T12C01__997887
Bifidobacterium longum subsp. longum EK13,strain,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Bifidobacteriales__85004,f__Bifidobacteriaceae__31953,g__Bifidobacterium__1678,s__Bifidobacterium longum__216816,st__Bifidobacterium longum subsp. longum EK13__1457186
Sporosarcina thermotolerans,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Planococcaceae__186818,g__Sporosarcina__1569,s__Sporosarcina thermotolerans__633404,
Bacillus sp. YIM C579,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Bacillus__1386,s__Bacillus sp. YIM C579__470765,
Fusobacterium ulcerans 12-1B,strain,sk__Bacteria__2,p__Fusobacteriota__32066,c__Fusobacteriia__203490,o__Fusobacteriales__203491,f__Fusobacteriaceae__203492,g__Fusobacterium__848,s__Fusobacterium ulcerans__861,st__Fusobacterium ulcerans 12-1B__457404
Lactobacillus crispatus JV-V01,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Lactobacillus__1578,s__Lactobacillus crispatus__47770,st__Lactobacillus crispatus JV-V01__491076
Hyellaceae,family,sk__Bacteria__2,p__Cyanobacteriota__1117,c__Cyanophyceae__3028117,o__Pleurocapsales__52604,f__Hyellaceae__1890500,,,
Dellaglioa algida DSM 15638,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Dellaglioa__2767880,s__Dellaglioa algida__105612,st__Dellaglioa algida DSM 15638__1423719
Lactococcus garvieae 21881,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Lactococcus__1357,s__Lactococcus garvieae__1363,st__Lactococcus garvieae 21881__998087
Bacteroides fragilis 3_1_12,strain,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides fragilis__817,st__Bacteroides fragilis 3_1_12__457424
Peptoniphilus sp. oral taxon 836 str. F0141,strain,sk__Bacteria__2,p__Bacillota__1239,c__Tissierellia__1737404,o__Tissierellales__1737405,f__Peptoniphilaceae__1570339,g__Peptoniphilus__162289,s__Peptoniphilus sp. oral taxon 836__671216,st__Peptoniphilus sp. oral taxon 836 str. F0141__768724
Caldalkalibacillus,genus,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Caldalkalibacillus__379065,,
Oceanobacillus,genus,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Oceanobacillus__182709,,
Klebsiella pneumoniae HK787,strain,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Klebsiella__570,s__Klebsiella pneumoniae__573,st__Klebsiella pneumoniae HK787__1392500
Enterococcus faecalis F01966,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecalis__1351,st__Enterococcus faecalis F01966__1260357
Streptococcus gallolyticus UCN34,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Streptococcus__1301,s__Streptococcus gallolyticus__315405,st__Streptococcus gallolyticus UCN34__637909
Bifidobacterium longum subsp. longum EK5,strain,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Bifidobacteriales__85004,f__Bifidobacteriaceae__31953,g__Bifidobacterium__1678,s__Bifidobacterium longum__216816,st__Bifidobacterium longum subsp. longum EK5__1457185
Neptunomonas sp. BPy-1,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Oceanospirillales__135619,f__Oceanospirillaceae__135620,g__Neptunomonas__75687,s__Neptunomonas sp. BPy-1__1236906,
Gardnerella vaginalis JCP8522,strain,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Bifidobacteriales__85004,f__Bifidobacteriaceae__31953,g__Gardnerella__2701,s__Gardnerella vaginalis__2702,st__Gardnerella vaginalis JCP8522__1261071
Heyndrickxia coagulans,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Heyndrickxia__2837504,s__Heyndrickxia coagulans__1398,
Gardnerella vaginalis JCP8151A,strain,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Bifidobacteriales__85004,f__Bifidobacteriaceae__31953,g__Gardnerella__2701,s__Gardnerella vaginalis__2702,st__Gardnerella vaginalis JCP8151A__1261067
Candidatus Stoquefichus massiliensis AP9,strain,sk__Bacteria__2,p__Bacillota__1239,c__Erysipelotrichia__526524,o__Erysipelotrichales__526525,f__Erysipelotrichaceae__128827,g__Candidatus Stoquefichus__1470349,s__Candidatus Stoquefichus massiliensis__1470350,st__Candidatus Stoquefichus massiliensis AP9__1211844
Parabacteroides merdae CL09T00C40,strain,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Tannerellaceae__2005525,g__Parabacteroides__375288,s__Parabacteroides merdae__46503,st__Parabacteroides merdae CL09T00C40__999421
Peribacillus butanolivorans,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Peribacillus__2675229,s__Peribacillus butanolivorans__421767,
Gracilinema caldarium,species,sk__Bacteria__2,p__Spirochaetota__203691,c__Spirochaetia__203692,o__Spirochaetales__136,f__Breznakiellaceae__2951104,g__Gracilinema__2951106,s__Gracilinema caldarium__215591,
Limosilactobacillus fermentum NB-22,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Limosilactobacillus__2742598,s__Limosilactobacillus fermentum__1613,st__Limosilactobacillus fermentum NB-22__1408443
Roseburia inulinivorans DSM 16841,strain,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Roseburia__841,s__Roseburia inulinivorans__360807,st__Roseburia inulinivorans DSM 16841__622312
Streptococcus thermophilus ASCC 1275,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Streptococcus__1301,s__Streptococcus thermophilus__1308,st__Streptococcus thermophilus ASCC 1275__1408178
Jeotgalibacillus marinus,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Planococcaceae__186818,g__Jeotgalibacillus__157226,s__Jeotgalibacillus marinus__86667,
Caldicellulosiruptor kronotskyensis,species,sk__Bacteria__2,p__Bacillota__1239,o__Caldicellulosiruptorales__3071001,f__Caldicellulosiruptoraceae__3071002,g__Caldicellulosiruptor__44000,s__Caldicellulosiruptor kronotskyensis__413889,,
Streptococcus henryi,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Streptococcus__1301,s__Streptococcus henryi__439219,
Gleimia,genus,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Actinomycetales__2037,f__Actinomycetaceae__2049,g__Gleimia__2692113,,
Pediococcus pentosaceus SL4,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Pediococcus__1253,s__Pediococcus pentosaceus__1255,st__Pediococcus pentosaceus SL4__1408206
Streptococcus equinus JB1,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Streptococcus__1301,s__Streptococcus equinus__1335,st__Streptococcus equinus JB1__1294274
Heyndrickxia oleronia,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Heyndrickxia__2837504,s__Heyndrickxia oleronia__38875,
Niallia circulans,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Niallia__2837506,s__Niallia circulans__1397,
Campylobacter hominis ATCC BAA-381,strain,sk__Bacteria__2,p__Campylobacterota__29547,c__Epsilonproteobacteria__3031852,o__Campylobacterales__213849,f__Campylobacteraceae__72294,g__Campylobacter__194,s__Campylobacter hominis__76517,st__Campylobacter hominis ATCC BAA-381__360107
Atopococcus,genus,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Carnobacteriaceae__186828,g__Atopococcus__269773,,
Bacillus carboniphilus,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Bacillus__1386,s__Bacillus carboniphilus__86663,
Escherichia coli DEC15B,strain,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Escherichia__561,s__Escherichia coli__562,st__Escherichia coli DEC15B__868207
Lysinibacillus boronitolerans F1182,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Lysinibacillus__400634,s__Lysinibacillus boronitolerans__309788,st__Lysinibacillus boronitolerans F1182__1179224
Phocaeicola dorei 5_1_36/D4,strain,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Phocaeicola__909656,s__Phocaeicola dorei__357276,st__Phocaeicola dorei 5_1_36/D4__556260
Bifidobacterium breve JCP7499,strain,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Bifidobacteriales__85004,f__Bifidobacteriaceae__31953,g__Bifidobacterium__1678,s__Bifidobacterium breve__1685,st__Bifidobacterium breve JCP7499__1261072
Escherichia coli DEC6A,strain,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Escherichia__561,s__Escherichia coli__562,st__Escherichia coli DEC6A__868160
Lacticaseibacillus rhamnosus 51B,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Lacticaseibacillus__2759736,s__Lacticaseibacillus rhamnosus__47715,st__Lacticaseibacillus rhamnosus 51B__1408180
Atopococcus tabaci,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Carnobacteriaceae__186828,g__Atopococcus__269773,s__Atopococcus tabaci__269774,
Streptococcus intermedius F0413,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Streptococcus__1301,s__Streptococcus intermedius__1338,st__Streptococcus intermedius F0413__883167
Corynebacterium auriscanis,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Mycobacteriales__85007,f__Corynebacteriaceae__1653,g__Corynebacterium__1716,s__Corynebacterium auriscanis__99807,
Enterococcus faecium 10/96A,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Enterococcaceae__81852,g__Enterococcus__1350,s__Enterococcus faecium__1352,st__Enterococcus faecium 10/96A__1391465
Helicobacter winghamensis ATCC BAA-430,strain,sk__Bacteria__2,p__Campylobacterota__29547,c__Epsilonproteobacteria__3031852,o__Campylobacterales__213849,f__Helicobacteraceae__72293,g__Helicobacter__209,s__Helicobacter winghamensis__157268,st__Helicobacter winghamensis ATCC BAA-430__556267
Peptoniphilus asaccharolyticus DSM 20463,strain,sk__Bacteria__2,p__Bacillota__1239,c__Tissierellia__1737404,o__Tissierellales__1737405,f__Peptoniphilaceae__1570339,g__Peptoniphilus__162289,s__Peptoniphilus asaccharolyticus__1258,st__Peptoniphilus asaccharolyticus DSM 20463__573058
Bacillus sp. LMG 20243,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Bacillus__1386,s__Bacillus sp. LMG 20243__171686,
[Clostridium] innocuum 2959,strain,sk__Bacteria__2,p__Bacillota__1239,c__Erysipelotrichia__526524,o__Erysipelotrichales__526525,f__Coprobacillaceae__2810280,g__Thomasclavelia__3025755,s__[Clostridium] innocuum__1522,st__[Clostridium] innocuum 2959__999413
Neobacillus niacini,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Neobacillus__2675232,s__Neobacillus niacini__86668,
Bilophila wadsworthia ATCC 49260,strain,sk__Bacteria__2,p__Thermodesulfobacteriota__200940,c__Desulfovibrionia__3031449,o__Desulfovibrionales__213115,f__Desulfovibrionaceae__194924,g__Bilophila__35832,s__Bilophila wadsworthia__35833,st__Bilophila wadsworthia ATCC 49260__1408428
Veillonella parvula ATCC 17745,strain,sk__Bacteria__2,p__Bacillota__1239,c__Negativicutes__909932,o__Veillonellales__1843489,f__Veillonellaceae__31977,g__Veillonella__29465,s__Veillonella parvula__29466,st__Veillonella parvula ATCC 17745__686660
Caldalkalibacillus mannanilyticus,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Caldalkalibacillus__379065,s__Caldalkalibacillus mannanilyticus__1418,
Campylobacter showae CSUNSWCD,strain,sk__Bacteria__2,p__Campylobacterota__29547,c__Epsilonproteobacteria__3031852,o__Campylobacterales__213849,f__Campylobacteraceae__72294,g__Campylobacter__194,s__Campylobacter showae__204,st__Campylobacter showae CSUNSWCD__1244083
Bifidobacterium breve UCC2003,strain,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Bifidobacteriales__85004,f__Bifidobacteriaceae__31953,g__Bifidobacterium__1678,s__Bifidobacterium breve__1685,st__Bifidobacterium breve UCC2003__326426
Paracoccus aminophilus,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Rhodobacterales__204455,f__Paracoccaceae__31989,g__Paracoccus__265,s__Paracoccus aminophilus__34003,
Lactobacillus crispatus FB077-07,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Lactobacillus__1578,s__Lactobacillus crispatus__47770,st__Lactobacillus crispatus FB077-07__883092
Finegoldia magna BVS033A4,strain,sk__Bacteria__2,p__Bacillota__1239,c__Tissierellia__1737404,o__Tissierellales__1737405,f__Peptoniphilaceae__1570339,g__Finegoldia__150022,s__Finegoldia magna__1260,st__Finegoldia magna BVS033A4__866773
Pleurocapsa,genus,sk__Bacteria__2,p__Cyanobacteriota__1117,c__Cyanophyceae__3028117,o__Pleurocapsales__52604,f__Hyellaceae__1890500,g__Pleurocapsa__44474,,
Paenibacillus barengoltzii,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Paenibacillaceae__186822,g__Paenibacillus__44249,s__Paenibacillus barengoltzii__343517,
Pediococcus pentosaceus ATCC 25745,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Pediococcus__1253,s__Pediococcus pentosaceus__1255,st__Pediococcus pentosaceus ATCC 25745__278197
Streptococcus salivarius CCHSS3,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Streptococcus__1301,s__Streptococcus salivarius__1304,st__Streptococcus salivarius CCHSS3__1048332
Paenibacillus sp. DSM 1474,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Paenibacillaceae__186822,g__Paenibacillus__44249,s__Paenibacillus sp. DSM 1474__171402,
Gracilinema,genus,sk__Bacteria__2,p__Spirochaetota__203691,c__Spirochaetia__203692,o__Spirochaetales__136,f__Breznakiellaceae__2951104,g__Gracilinema__2951106,,
Gleimia europaea,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Actinomycetales__2037,f__Actinomycetaceae__2049,g__Gleimia__2692113,s__Gleimia europaea__66228,
Bacillus sp. IHB B 4043,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Bacillaceae__186817,g__Bacillus__1386,s__Bacillus sp. IHB B 4043__882157,
Brachyspira,genus,sk__Bacteria__2,p__Spirochaetota__203691,c__Spirochaetia__203692,o__Brachyspirales__1643686,f__Brachyspiraceae__143786,g__Brachyspira__29521,,
Ligilactobacillus salivarius ACS-116-V-Col5a,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Ligilactobacillus__2767887,s__Ligilactobacillus salivarius__1624,st__Ligilactobacillus salivarius ACS-116-V-Col5a__768728
Ligilactobacillus salivarius cp400,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Ligilactobacillus__2767887,s__Ligilactobacillus salivarius__1624,st__Ligilactobacillus salivarius cp400__1273133
Sulfurihydrogenibium azorense,species,sk__Bacteria__2,p__Aquificota__200783,c__Aquificae__187857,o__Aquificales__32069,f__Hydrogenothermaceae__224027,g__Sulfurihydrogenibium__212790,s__Sulfurihydrogenibium azorense__309806,
Prevotella bivia DSM 20514,strain,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Prevotellaceae__171552,g__Prevotella__838,s__Prevotella bivia__28125,st__Prevotella bivia DSM 20514__868129
Brucella ovis,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Hyphomicrobiales__356,f__Brucellaceae__118882,g__Brucella__234,s__Brucella ovis__236,
Agathobaculum desmolans ATCC 43058,strain,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Butyricicoccaceae__3085642,g__Agathobaculum__2048137,s__Agathobaculum desmolans__39484,st__Agathobaculum desmolans ATCC 43058__1408437
Ruminobacter sp. RM87,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Aeromonadales__135624,f__Succinivibrionaceae__83763,g__Ruminobacter__866,s__Ruminobacter sp. RM87__1200567,
Nocardia thailandica,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Mycobacteriales__85007,f__Nocardiaceae__85025,g__Nocardia__1817,s__Nocardia thailandica__257275,
Streptomyces sp. YIM 75774,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Kitasatosporales__85011,f__Streptomycetaceae__2062,g__Streptomyces__1883,s__Streptomyces sp. YIM 75774__1204211,
Fimbriimonas,genus,sk__Bacteria__2,p__Armatimonadota__67819,c__Fimbriimonadia__1663419,o__Fimbriimonadales__1663425,f__Fimbriimonadaceae__1663426,g__Fimbriimonas__1005038,,
Chitinophaga sp. HBUM179489,species,sk__Bacteria__2,p__Bacteroidota__976,c__Chitinophagia__1853228,o__Chitinophagales__1853229,f__Chitinophagaceae__563835,g__Chitinophaga__79328,s__Chitinophaga sp. HBUM179489__1746656,
Mycolicibacterium vanbaalenii,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Mycobacteriales__85007,f__Mycobacteriaceae__1762,g__Mycolicibacterium__1866885,s__Mycolicibacterium vanbaalenii__110539,
Spirabiliibacterium mucosae,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Pasteurellales__135625,f__Pasteurellaceae__712,g__Spirabiliibacterium__2820724,s__Spirabiliibacterium mucosae__28156,
Demequina gelatinilytica,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micrococcales__85006,f__Demequinaceae__1042322,g__Demequina__577469,s__Demequina gelatinilytica__1638980,
Thiodictyon bacillosum,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Chromatiales__135613,f__Chromatiaceae__1046,g__Thiodictyon__53392,s__Thiodictyon bacillosum__53393,
Streptomyces cremeus,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Kitasatosporales__85011,f__Streptomycetaceae__2062,g__Streptomyces__1883,s__Streptomyces cremeus__66881,
Paludibacterium yongneupense,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Neisseriales__206351,f__Chromobacteriaceae__1499392,g__Paludibacterium__400060,s__Paludibacterium yongneupense__400061,
Pseudonocardia zijingensis,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Pseudonocardiales__85010,f__Pseudonocardiaceae__2070,g__Pseudonocardia__1847,s__Pseudonocardia zijingensis__153376,
Comamonas koreensis,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Burkholderiales__80840,f__Comamonadaceae__80864,g__Comamonas__283,s__Comamonas koreensis__160825,
Thiodictyon,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Chromatiales__135613,f__Chromatiaceae__1046,g__Thiodictyon__53392,,
Isochromatium,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Chromatiales__135613,f__Chromatiaceae__1046,g__Isochromatium__85077,,
Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633,strain,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Salmonella__590,s__Salmonella enterica__28901,st__Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633__439843
Fusobacterium perfoetens ATCC 29250,strain,sk__Bacteria__2,p__Fusobacteriota__32066,c__Fusobacteriia__203490,o__Fusobacteriales__203491,f__Fusobacteriaceae__203492,g__Fusobacterium__848,s__Fusobacterium perfoetens__852,st__Fusobacterium perfoetens ATCC 29250__1408439
Pediococcus acidilactici MA18/5M,strain,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Pediococcus__1253,s__Pediococcus acidilactici__1254,st__Pediococcus acidilactici MA18/5M__1080365
[Eubacterium] minutum,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Eubacteriales Family XIII. Incertae Sedis__543314,s__[Eubacterium] minutum__76124,,
Brevibacillus borstelensis,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Paenibacillaceae__186822,g__Brevibacillus__55080,s__Brevibacillus borstelensis__45462,
Yersinia pseudotuberculosis,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Yersiniaceae__1903411,g__Yersinia__629,s__Yersinia pseudotuberculosis__633,
