Name,Collection,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism
Jatamansi Digestion,metabolisms,[216572] Oscillospiraceae (0.0063),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arthritis, Rheumatoid",conditions,[84107] Coriobacteriaceae (-0.1447),[841] Roseburia (-0.1198),[204475] Gemmiger (-0.1198),[28050] Lachnospira (-0.1109),[1301] Streptococcus (0.1109),[84111] Eggerthella (0.1018),[1228827] Influenza A virus) (0.1018),[44748] Sporobacter (-0.1018),[186828] Carnobacteriaceae (0.1018),[1654] Actinomyces (0.1018),[1378] Gemella (0.1018),[1573536] Faecalicoccus (0.1018),[186801] Clostridia (-0.1018),[508215] Rothia (0.1018),[1501226] Romboutsia (-0.1018),[264995] Anaerofustis (0.1018),[1407607] Fusicatenibacter (-0.1018),[216572] Oscillospiraceae (-0.1018),[580596] Butyricicoccus (-0.1016),[292632] Subdoligranulum (-0.0927),[216851] Faecalibacterium (-0.0927),[201174] Actinomycetota (-0.091),[102106] Collinsella (-0.0852),[1485] Clostridium (-0.0779),[1239] Bacillota (0.0762),[1678] Bifidobacterium (-0.0722),[83763] Succinivibrionaceae (0.0675),[84999] Coriobacteriales (-0.0429),[84998] Coriobacteriia (-0.0429),[244127] Anaerotruncus (-0.0405)
"Fatigue Syndrome, Chronic",conditions,[216851] Faecalibacterium (-0.2146),[33042] Coprococcus (-0.2037),[1485] Clostridium (0.2037),[31979] Clostridiaceae (0.2037),[189330] Dorea (-0.2037),[186803] Lachnospiraceae (-0.2037),[207244] Anaerostipes (0.1935),[100883] Coprobacillus (0.1121),[724] Haemophilus (-0.1019),[712] Pasteurellaceae (-0.1019),[1378] Gemella (-0.1019),[39496] Eubacterium ventriosum (0.1019),[1017280] Pseudoflavonifractor (0.1019),[729] Haemophilus parainfluenzae (0.1019),[135625] Pasteurellales (-0.1019),[1385] Bacillales (-0.1019),[28117] Alistipes putredinis (0.1019),[216572] Oscillospiraceae (-0.1019),[1224] Pseudomonadota (0.1019),[543] Enterobacteriaceae (0.1019),[841] Roseburia (-0.1018),[116085] Coprococcus catus (-0.1018),[105841] Anaerostipes caccae (0.1018),[208479] Enterocloster bolteae (-0.1018),[39486] Dorea formicigenerans (-0.1018),[410072] Coprococcus comes (-0.1018),[816] Bacteroides (0.0826),[239759] Alistipes (0.0758),[1239] Bacillota (-0.0723),[200643] Bacteroidia (-0.0295)
"Multiple Sclerosis, Relapsing-Remitting",conditions,[40544] Sutterella (-0.055),[Probiotic] Akkermansia muciniphila (0.055),[471] Acinetobacter calcoaceticus (0.055),[186803] Lachnospiraceae (-0.0495),[375288] Parabacteroides (-0.0415),[128827] Erysipelotrichaceae (-0.0412),[1301] Streptococcus (0.0397),[171552] Prevotellaceae (-0.0393),[216572] Oscillospiraceae (-0.0373),[28050] Lachnospira (-0.0314),[33024] Phascolarctobacterium (-0.031),[1232428] Megasphaera massiliensis (-0.031),[577310] Parasutterella (0.031),[292632] Subdoligranulum (0.031),[33025] Phascolarctobacterium faecium (0.031),[1730] Eubacterium (0.031),[133925] Olsenella (-0.031),[301301] Roseburia hominis (-0.031),[990719] Christensenellaceae (-0.031),[820] Bacteroides uniformis (0.031),[Probiotic] Lactococcus lactis (-0.031),[29348] Thomasclavelia spiroformis (0.031),[39492] [Eubacterium] siraeum (-0.031),[84036] Syntrophococcus (0.031),[1017280] Pseudoflavonifractor (0.031),[418240] Blautia wexlerae (-0.031),[84107] Coriobacteriaceae (-0.0308),[1263] Ruminococcus (0.0269),[823] Parabacteroides distasonis (-0.024),[572511] Blautia (0.0166)
Immunoglobulin E,symptoms,[506] Alcaligenaceae (-0.002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension,conditions,[216851] Faecalibacterium (-0.1191),[838] Prevotella (0.1047),[1678] Bifidobacterium (-0.1044),[1654] Actinomyces (0.102),[459786] Oscillibacter (-0.102),[830] Butyrivibrio (-0.102),[836] Porphyromonas (0.102),[33042] Coprococcus (-0.1015),[841] Roseburia (-0.1015),[570] Klebsiella (0.0952),[200643] Bacteroidia (-0.0456),[186803] Lachnospiraceae (-0.0328),[1578] Lactobacillus (0.0295),[31953] Bifidobacteriaceae (-0.0275),[572511] Blautia (-0.0275),[375288] Parabacteroides (0.0265),[853] Faecalibacterium prausnitzii (-0.0253),[310297] Phocaeicola plebeius (0.0253),[823] Parabacteroides distasonis (-0.0253),[574697] Butyricimonas (0.0215),[848] Fusobacterium (0.0209),[102106] Collinsella (0.0205),[1301] Streptococcus (0.0205),[32067] Leptotrichia (0.0205),[724] Haemophilus (0.0205),[1357] Lactococcus (0.0205),[28117] Alistipes putredinis (-0.0175),[171550] Rikenellaceae (-0.0175),[418240] Blautia wexlerae (-0.0175),[820] Bacteroides uniformis (-0.0175)
Down Syndrome,conditions,[115543] Parasporobacterium (0.0063),[40544] Sutterella (0.0063),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blind Loop Syndrome,conditions,[853] Faecalibacterium prausnitzii (0.0121),[1680] Bifidobacterium adolescentis (-0.0121),[216851] Faecalibacterium (0.0121),[838] Prevotella (0.0121),[165179] Segatella copri (0.0121),[820] Bacteroides uniformis (-0.0121),[1124673] Rickenellaceae (0.001),[128827] Erysipelotrichaceae (-0.001),[816] Bacteroides (0.001),[397864] Barnesiella (-0.0),[171551] Porphyromonadaceae (-0.0),[265975] Oribacterium (-0.0),[572511] Blautia (0.0),[1268] Micrococcaceae (0.0),[469] Acinetobacter (-0.0),[375288] Parabacteroides (-0.0),[459786] Oscillibacter (-0.0),[1392389] Intestinimonas (-0.0),[32066] Fusobacteriota (0.0),[1239] Bacillota (0.0),[239759] Alistipes (-0.0),[200643] Bacteroidia (-0.0),[171550] Rikenellaceae (-0.0),[186803] Lachnospiraceae (0.0),[1407607] Fusicatenibacter (-0.0),[712] Pasteurellaceae (0.0),[194924] Desulfovibrionaceae (-0.0),[724] Haemophilus (-0.0),[468] Moraxellaceae (0.0),[2049] Actinomycetaceae (0.0)
Uveitis,symptoms,[186803] Lachnospiraceae (-0.0203),[186804] Peptostreptococcaceae (-0.0081),[449972] Chelativorans (-0.0081),[189330] Dorea (-0.0081),[46466] Halocella (-0.0081),[1569] Sporosarcina (-0.0081),[286] Pseudomonas (-0.0081),[305976] Pusillimonas (-0.0081),[2840493] Lachnospiraceae incertae sedis (-0.0081),[213121] Desulfobulbaceae (-0.0081),[577309] Paraprevotella (0.0081),[135619] Oceanospirillales (0.0081),[572511] Blautia (-0.0081),[28256] Halomonadaceae (0.0081),[283168] Odoribacter (-0.0081),[506] Alcaligenaceae (-0.0081),[841] Roseburia (-0.0081),[213118] Desulfobacterales (-0.0081),[82800] Desemzia (-0.0081),[160795] Ureibacillus (-0.0081),[186818] Planococcaceae (-0.0081),[117563] Granulicatella (-0.0081),[2745] Halomonas (0.0081),[186828] Carnobacteriaceae (-0.0081),[970] Selenomonas (0.0081),[285105] Tepidimicrobium (-0.0081),[499228] Tepidanaerobacter (-0.0081),[909932] Negativicutes (0.0081),[29465] Veillonella (0.0081),[32008] Burkholderia (0.0081)
Gastrointestinal Hemorrhage,symptoms,[515620] [Eubacterium] eligens ATCC 27750 (0.0),[853] Faecalibacterium prausnitzii (0.0),[572511] Blautia (0.0),[248744] Marvinbryantia (0.0),[189330] Dorea (0.0),[1392389] Intestinimonas (0.0),[39488] Anaerobutyricum hallii (0.0),[1766253] Agathobacter (0.0),[290054] Eubacterium coprostanoligenes (0.0),[216572] Oscillospiraceae (0.0),[1407607] Fusicatenibacter (0.0),[438033] Ruminococcus gauvreauii (0.0),[40520] Blautia obeum (0.0),[28050] Lachnospira (0.0),[119852] Oscillospira (0.0),[410072] Coprococcus comes (0.0),[1115758] Romboutsia ilealis (0.0),[33039] [Ruminococcus] torques (0.0),[292632] Subdoligranulum (0.0),[1980693] Negativibacillus (-0.0),,,,,,,,,,
Ginger Digestion,metabolisms,[171550] Rikenellaceae (0.0034),[506] Alcaligenaceae (0.0034),[1678] Bifidobacterium (0.0034),[384636] Hungatella xylanolytica (0.0034),[74426] Collinsella aerofaciens (0.0034),[81852] Enterococcaceae (0.0034),[1228827] Influenza A virus) (0.0034),[84107] Coriobacteriaceae (0.0034),[1454229] Bifidobacterium faecale (0.0034),[515620] [Eubacterium] eligens ATCC 27750 (0.0034),,,,,,,,,,,,,,,,,,,,
Glucuronidase,symptoms,[872] Desulfovibrio (0.0075),[286] Pseudomonas (-0.0075),[1663] Arthrobacter (-0.0075),[185291] unclassified Bacteroidales (0.0075),[186806] Eubacteriaceae (0.0075),[119060] Burkholderiaceae (-0.0075),[990721] Christensenella (0.0075),[1643826] Eggerthellaceae (0.0075),[39948] Dialister (-0.0075),[35832] Bilophila (0.0075),[3031449] Desulfovibrionia (0.0075),[57493] Kocuria (-0.0075),[135621] Pseudomonadaceae (-0.0075),[1720314] unclassified Eggerthellaceae (0.0075),[258514] Acetanaerobacterium (0.0075),[2701] Gardnerella (0.0075),[1407607] Fusicatenibacter (-0.0075),[1730] Eubacterium (0.0075),[1470353] Candidatus Soleaferrea (0.0075),[3030910] Anaerovoracaceae (0.0075),[177971] Shuttleworthella (0.0075),[1473205] Senegalimassilia (-0.0075),[35753] Dactylosporangium (-0.0075),[194924] Desulfovibrionaceae (0.0075),[200940] Thermodesulfobacteriota (0.0075),[216572] Oscillospiraceae (0.0075),[213115] Desulfovibrionales (0.0075),[186802] Eubacteriales (0.0075),[186804] Peptostreptococcaceae (-0.0075),[45851] Butyrivibrio crossotus (0.0002)
Potassium Gluconate Digestion,metabolisms,[1870985] Arabiibacter massiliensis (0.0026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body Mass Index,symptoms,[239934] Akkermansia (-0.2458),[1117] Cyanobacteriota (-0.2458),[189330] Dorea (0.1906),[216572] Oscillospiraceae (-0.179),[1647988] Akkermansiaceae (-0.179),[46205] Pseudobutyrivibrio (0.179),[31979] Clostridiaceae (-0.0784),[572511] Blautia (0.0784),[171550] Rikenellaceae (-0.0784),[283168] Odoribacter (-0.0668),[128827] Erysipelotrichaceae (-0.0668),[1236] Gammaproteobacteria (-0.0668),[1853231] Odoribacteraceae (-0.0668),[35832] Bilophila (-0.0668),[574697] Butyricimonas (-0.0668),[2005519] Barnesiellaceae (-0.0668),[544448] Mycoplasmatota (-0.0668),[51514] Dehalobacterium (-0.0668),[80840] Burkholderiales (-0.0668),[186804] Peptostreptococcaceae (-0.0668),[1385] Bacillales (0.0668),[194924] Desulfovibrionaceae (-0.0668),[712] Pasteurellaceae (-0.0668),[815] Bacteroidaceae (-0.0668),[990719] Christensenellaceae (-0.0668),[186803] Lachnospiraceae (-0.0668),[1809] Mycobacterium ulcerans (-0.0204),[1263] Ruminococcus (0.0116),[39491] Agathobacter rectalis (0.0105),[1305] Streptococcus sanguinis (0.0105)
Dyslipidemias,conditions,[1578] Lactobacillus (0.015),[189330] Dorea (-0.015),[1263] Ruminococcus (-0.015),[2840493] Lachnospiraceae incertae sedis (-0.015),[29465] Veillonella (-0.015),[207244] Anaerostipes (-0.015),[201174] Actinomycetota (-0.015),[817] Bacteroides fragilis (-0.015),[1678] Bifidobacterium (-0.015),[816] Bacteroides (-0.015),[572511] Blautia (-0.015),,,,,,,,,,,,,,,,,,,
Antiphospholipid Syndrome,conditions,[84113] unclassified Coriobacteriaceae (0.0114),[1678] Bifidobacterium (0.0114),[1508657] Ruminiclostridium (0.0114),[102106] Collinsella (0.0114),[36866] unclassified Enterobacteriaceae (0.0114),[40544] Sutterella (-0.0114),[28050] Lachnospira (-0.0114),[1301] Streptococcus (0.0114),[1506553] Lachnoclostridium (-0.0114),,,,,,,,,,,,,,,,,,,,,
"Signs and Symptoms, Digestive",symptoms,[216851] Faecalibacterium (-0.0205),[543] Enterobacteriaceae (0.0205),[158846] Megamonas (-0.0205),[577310] Parasutterella (0.0205),[40544] Sutterella (-0.0205),[1643826] Eggerthellaceae (-0.0205),[201174] Actinomycetota (-0.0058),[1224] Pseudomonadota (0.0058),[100884] Coprobacillus cateniformis (0.001),[33042] Coprococcus (-0.0),[135858] Catenibacterium (-0.0),[570] Klebsiella (0.0),[191303] Turicibacter (-0.0),[1485] Clostridium (-0.0),[171549] Bacteroidales (-0.0),[1501226] Romboutsia (-0.0),[2172] Methanobrevibacter (-0.0),[165695] Sphingobium (0.0),[1918450] Cuneatibacter (-0.0),[186801] Clostridia (-0.0),[1350] Enterococcus (0.0),[292632] Subdoligranulum (-0.0),[1578] Lactobacillus (0.0),[186802] Eubacteriales (-0.0),,,,,,
Ribose Digestion,metabolisms,[1870985] Arabiibacter massiliensis (0.0026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uric Acid,symptoms,[562] Escherichia coli (0.0001),[1971605] Faecalibacterium sp. (-0.0001),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Urticaria,symptoms,[816] Bacteroides (-0.0385),[1678] Bifidobacterium (-0.0317),[1578] Lactobacillus (-0.0317),[906] Megasphaera (-0.0225),[216851] Faecalibacterium (-0.0219),[216572] Oscillospiraceae (-0.0167),[1239] Bacillota (-0.0167),[1263] Ruminococcus (-0.0166),[33024] Phascolarctobacterium (-0.0166),[286] Pseudomonas (-0.0166),[61170] Holdemania (0.0166),[186804] Peptostreptococcaceae (0.0166),[135621] Pseudomonadaceae (-0.0166),[Pathogen] Shigella (-0.0166),[28050] Lachnospira (0.0166),[171550] Rikenellaceae (0.0166),[204475] Gemmiger (0.0166),[815] Bacteroidaceae (-0.0166),[264995] Anaerofustis (-0.0166),[72274] Pseudomonadales (-0.0114),[838] Prevotella (0.0114),[39948] Dialister (0.0107),[853] Faecalibacterium prausnitzii (-0.0091),[543] Enterobacteriaceae (0.006),[91061] Bacilli (0.0059),[158846] Megamonas (-0.0059),[91347] Enterobacterales (-0.0055),[1224] Pseudomonadota (-0.0055),[817] Bacteroides fragilis (-0.0052),[40544] Sutterella (0.0052)
Synovitis,symptoms,[171552] Prevotellaceae (0.0134),[572511] Blautia (-0.0134),[838] Prevotella (0.0134),[4827] Mucorales (-0.0127),[1110546] Veillonella tobetsuensis (0.0127),[1578] Lactobacillus (0.0127),[2172004] Lawsonibacter (0.0127),,,,,,,,,,,,,,,,,,,,,,,
Alopecia Areata,conditions,[186803] Lachnospiraceae (0.0245),[1508657] Ruminiclostridium (0.0156),[1506577] Tyzzerella (0.0156),[397864] Barnesiella (0.0156),[31969] Mollicutes (-0.0156),[3025755] Thomasclavelia (0.0156),[216572] Oscillospiraceae (0.0156),[28050] Lachnospira (-0.0156),[1263] Ruminococcus (-0.0156),[239759] Alistipes (0.0156),[1506553] Lachnoclostridium (-0.0156),[816] Bacteroides (0.0156),[1228827] Influenza A virus) (0.0089),[154288] Turicibacter sanguinis (-0.0089),[626940] Phascolarctobacterium succinatutens (-0.0089),[61171] Holdemania filiformis (0.0089),[Probiotic] Streptococcus thermophilus (-0.0089),[28111] Bacteroides eggerthii (0.0089),[823] Parabacteroides distasonis (0.0089),[2897707] Merdimmobilis hominis (-0.0089),[292800] Flavonifractor plautii (-0.0089),[88431] Dorea longicatena (-0.0089),[1643826] Eggerthellaceae (0.0089),[387661] Parabacteroides johnsonii (0.0089),[3028852] Merdimmobilis (-0.0089),[189330] Dorea (-0.0089),[33958] Lactobacillaceae (0.0001),[1300] Streptococcaceae (0.0001),[186806] Eubacteriaceae (0.0001),[31953] Bifidobacteriaceae (0.0001)
"Pulmonary Disease, Chronic Obstructive",conditions,[562] Escherichia coli (0.0022),[1578] Lactobacillus (-0.0022),[816] Bacteroides (-0.0022),[4930] Saccharomyces (0.0022),,,,,,,,,,,,,,,,,,,,,,,,,,
"Gastritis, Atrophic",conditions,[946234] Flavonifractor (0.0332),[577309] Paraprevotella (-0.0332),[52225] Mitsuokella (-0.0166),[204457] Sphingomonadales (-0.0166),[196081] Scardovia (-0.0166),[1505652] Terrisporobacter (-0.0166),[909930] Acidaminococcaceae (0.0166),[39491] Agathobacter rectalis (-0.0166),[135625] Pasteurellales (0.0166),[100175] Papillibacter (-0.0166),[46205] Pseudobutyrivibrio (-0.0166),[816] Bacteroides (-0.0166),[356] Hyphomicrobiales (-0.0166),[28211] Alphaproteobacteria (0.0166),[33024] Phascolarctobacterium (0.0166),[283168] Odoribacter (-0.0166),[1738645] Caproiciproducens (-0.0166),[13687] Sphingomonas (-0.0166),[186826] Lactobacillales (0.0166),[1236] Gammaproteobacteria (0.0166),[84111] Eggerthella (0.0166),[544448] Mycoplasmatota (-0.0166),[31969] Mollicutes (-0.0166),[3025755] Thomasclavelia (0.0166),[41297] Sphingomonadaceae (-0.0166),[1522] [Clostridium] innocuum (0.0166),[1506577] Tyzzerella (0.0166),[712] Pasteurellaceae (0.0166),[724] Haemophilus (0.0166),[292632] Subdoligranulum (-0.0166)
"Kidney Failure, Chronic",conditions,[990721] Christensenella (0.033),[135621] Pseudomonadaceae (0.033),[226] Alteromonas (0.033),[1030] Thiothrix (0.033),[468] Moraxellaceae (0.033),[135858] Catenibacterium (0.033),[57494] Nesterenkonia (0.033),[403] Methylococcaceae (0.033),[186804] Peptostreptococcaceae (0.033),[49] Polyangiaceae (0.033),[43668] Brachybacterium (0.033),[543] Enterobacteriaceae (0.033),[28256] Halomonadaceae (0.033),[815] Bacteroidaceae (-0.0206),[816] Bacteroides (-0.0205),[1506553] Lachnoclostridium (-0.0205),[Pathogen] Shigella (0.0102),[838] Prevotella (-0.0102),[1301] Streptococcus (0.0102),[91061] Bacilli (0.0102),[40520] Blautia obeum (0.0102),[572511] Blautia (0.0102),[577309] Paraprevotella (-0.0102),[28211] Alphaproteobacteria (0.0102),[526524] Erysipelotrichia (-0.0102),[33042] Coprococcus (-0.0102),[1236] Gammaproteobacteria (0.0102),[2152] Asteroleplasma (-0.0102),[561] Escherichia (0.0102),[1432051] Eisenbergiella (0.0102)
Irritable Bowel Syndrome,conditions,[1224] Pseudomonadota (0.3338),[216851] Faecalibacterium (-0.2909),[1485] Clostridium (0.2473),[40520] Blautia obeum (-0.2336),[33039] [Ruminococcus] torques (0.2137),[39486] Dorea formicigenerans (-0.2123),[360807] Roseburia inulinivorans (-0.2001),[33038] Mediterraneibacter gnavus (0.1856),[116085] Coprococcus catus (-0.168),[33024] Phascolarctobacterium (0.1551),[200643] Bacteroidia (-0.1535),[2040332] Dorea sp. (-0.148),[447020] Adlercreutzia (-0.1475),[2049] Actinomycetaceae (-0.1475),[31953] Bifidobacteriaceae (0.1432),[1263] Ruminococcus (0.1429),[Probiotic] Akkermansia muciniphila (-0.1373),[33042] Coprococcus (-0.133),[186803] Lachnospiraceae (0.1258),[562] Escherichia coli (0.1257),[1239] Bacillota (-0.1208),[1535] [Clostridium] leptum (-0.1194),[1328] Streptococcus anginosus (-0.1194),[1262992] Firmicutes bacterium CAG:83 (-0.1194),[301302] Roseburia faecis (-0.1194),[33033] Parvimonas micra (-0.1194),[33025] Phascolarctobacterium faecium (0.1194),[544580] Actinomyces oris (-0.1194),[147206] Collinsella stercoris (0.1194),[1655] Actinomyces naeslundii (-0.1194)
Aged,conditions,[172901] Victivallis vadensis (0.0326),[61171] Holdemania filiformis (0.0326),[1520815] Ruminococcaceae bacterium D5 (0.0326),[1550024] Ruthenibacterium lactatiformans (0.0326),[169435] Anaerotruncus colihominis (0.0326),[817] Bacteroides fragilis (0.0326),[1463165] Klebsiella quasipneumoniae (0.0326),[823] Parabacteroides distasonis (0.0326),[1297617] Intestinimonas butyriciproducens (0.0326),[1654] Actinomyces (0.0326),[2108523] Lawsonibacter asaccharolyticus (0.0326),[28118] Odoribacter splanchnicus (0.0326),[84112] Eggerthella lenta (0.0326),[471189] Gordonibacter pamelaeae (0.0326),[1512] [Clostridium] symbiosum (0.0326),[544645] Butyricimonas virosa (0.0326),[901] Desulfovibrio piger (0.0326),[1432052] Eisenbergiella tayi (0.0326),[119852] Oscillospira (0.0301),[1678] Bifidobacterium (-0.0301),[216572] Oscillospiraceae (-0.0301),[31977] Veillonellaceae (0.0236),[543] Enterobacteriaceae (0.0229),[216851] Faecalibacterium (-0.0228),[872] Desulfovibrio (0.0164),[102106] Collinsella (0.0164),[186333] Anaeroplasmataceae (-0.0164),[239759] Alistipes (0.0164),[724] Haemophilus (-0.0164),[838] Prevotella (-0.0164)
"Sleep Apnea, Obstructive",conditions,[848] Fusobacterium (0.0102),[158846] Megamonas (0.0102),[207244] Anaerostipes (-0.0102),,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarcopenia,conditions,[2037] Actinomycetales (0.015),[248744] Marvinbryantia (0.015),[33024] Phascolarctobacterium (0.015),[815] Bacteroidaceae (0.015),[290055] Faecalicatena fissicatena (-0.015),[2049] Actinomycetaceae (0.015),[171552] Prevotellaceae (0.015),[171551] Porphyromonadaceae (0.015),[816] Bacteroides (0.015),[1378] Gemella (-0.01),[29465] Veillonella (0.01),[31977] Veillonellaceae (-0.01),[904] Acidaminococcus (-0.01),[539738] Gemellaceae (-0.01),[906] Megasphaera (0.01),[203557] Verrucomicrobiaceae (0.01),[508215] Rothia (0.01),[1268] Micrococcaceae (0.01),[100883] Coprobacillus (0.01),[239934] Akkermansia (0.01),,,,,,,,,,
Acne Vulgaris,conditions,[216851] Faecalibacterium (-0.0003),[201174] Actinomycetota (0.0003),[1224] Pseudomonadota (-0.0003),[74201] Verrucomicrobiota (-0.0003),[1678] Bifidobacterium (0.0003),[33042] Coprococcus (0.0003),[1578] Lactobacillus (0.0003),[816] Bacteroides (0.0003),,,,,,,,,,,,,,,,,,,,,,
Beta Carotene,symptoms,[816] Bacteroides (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetic Nephropathies,symptoms,[1506577] Tyzzerella (0.015),[186807] Peptococcaceae (0.015),[216572] Oscillospiraceae (0.015),[186827] Aerococcaceae (0.015),[46123] Abiotrophia (0.015),[1573536] Faecalicoccus (-0.015),[2316203] Catenibacillus (0.015),[1279] Staphylococcus (-0.015),[133925] Olsenella (-0.015),[1224] Pseudomonadota (0.0061),[84107] Coriobacteriaceae (0.0061),,,,,,,,,,,,,,,,,,,
Breast Neoplasms,conditions,[Pathogen] Vibrio cholerae (0.1019),[470] Acinetobacter baumannii (0.1019),[40214] Acinetobacter johnsonii (0.1019),[40216] Acinetobacter radioresistens (0.1019),[564] Escherichia fergusonii (0.1019),[208962] Escherichia albertii (-0.1019),[1633] Limosilactobacillus vaginalis (-0.1019),[Pathogen] Yersinia enterocolitica (0.1019),[360807] Roseburia inulinivorans (-0.1019),[1353] Enterococcus gallinarum (0.1019),[Pathogen] Salmonella enterica (0.1019),[624] Shigella sonnei (0.1019),[281920] Porphyromonas uenonis (0.1019),[621] Shigella boydii (0.1019),[29459] Brucella melitensis (-0.1019),[545] Citrobacter koseri (0.1019),[97478] Limosilactobacillus mucosae (0.1019),[199] Campylobacter concisus (-0.1019),[584] Proteus mirabilis (0.1019),[33037] Anaerococcus vaginalis (0.1019),[851] Fusobacterium nucleatum (0.1019),[856] Fusobacterium varium (0.1019),[552] Erwinia amylovora (0.1019),[63612] Sodalis glossinidius (0.1019),[562] Escherichia coli (0.1019),[187327] Acidaminococcus intestini (0.1019),[587] Providencia rettgeri (0.1019),[24] Shewanella putrefaciens (0.1019),[39485] Lachnospira eligens (-0.1019),[244366] Klebsiella variicola (0.1019)
"Carcinoma, Hepatocellular",conditions,[572511] Blautia (-0.0309),[1407607] Fusicatenibacter (-0.0309),[201174] Actinomycetota (0.0266),[200643] Bacteroidia (-0.0266),[816] Bacteroides (0.024),[171551] Porphyromonadaceae (0.024),[216572] Oscillospiraceae (0.024),[1224] Pseudomonadota (0.0207),[1239] Bacillota (-0.0207),[39488] Anaerobutyricum hallii (-0.0207),[74201] Verrucomicrobiota (-0.0207),[848] Fusobacterium (0.0102),[84111] Eggerthella (-0.0102),[561] Escherichia (0.0102),[207244] Anaerostipes (-0.0102),[906] Megasphaera (0.0102),[413496] Cronobacter (0.0102),[1263031] Firmicutes bacterium CAG:56 (-0.0102),[133925] Olsenella (-0.0102),[Pathogen] Shigella (0.0102),[29465] Veillonella (0.0102),,,,,,,,,
"Arthritis, Juvenile",conditions,[816] Bacteroides (0.0288),[81852] Enterococcaceae (0.0156),[570] Klebsiella (0.0156),[171552] Prevotellaceae (-0.0156),[1350] Enterococcus (0.0156),[838] Prevotella (-0.0156),[543] Enterobacteriaceae (0.0145),[200643] Bacteroidia (0.012),[1239] Bacillota (-0.0109),[216851] Faecalibacterium (-0.0011),[815] Bacteroidaceae (0.0011),[526524] Erysipelotrichia (-0.0011),[526525] Erysipelotrichales (-0.0011),[216572] Oscillospiraceae (-0.0011),[817] Bacteroides fragilis (0.0),[718252] Faecalibacterium prausnitzii L2-6 (0.0),[186804] Peptostreptococcaceae (-0.0),[31979] Clostridiaceae (-0.0),[31977] Veillonellaceae (0.0),[853] Faecalibacterium prausnitzii (-0.0),[Probiotic] Akkermansia muciniphila (0.0),[1678] Bifidobacterium (0.0),[186803] Lachnospiraceae (-0.0),,,,,,,
Bipolar Disorder,conditions,[946234] Flavonifractor (0.0985),[216851] Faecalibacterium (-0.0825),[1380] Atopobium (0.0634),[Pathogen] Shigella (0.0517),[84111] Eggerthella (0.0517),[561] Escherichia (0.0517),[33042] Coprococcus (-0.0517),[2753] Synergistes (-0.0191),[1224] Pseudomonadota (-0.0191),[1766253] Agathobacter (-0.0191),[29547] Campylobacterota (-0.0191),[200643] Bacteroidia (-0.019),[853] Faecalibacterium prausnitzii (0.0117),[838] Prevotella (0.0117),[42895] Enterobacter sp. (0.0117),[1301] Streptococcus (0.0116),[1239] Bacillota (0.0116),[1485] Clostridium (0.0116),[201174] Actinomycetota (0.0116),[459786] Oscillibacter (0.0116),[816] Bacteroides (0.0116),[1678] Bifidobacterium (-0.0076),,,,,,,,
Blood Pressure,symptoms,[1407607] Fusicatenibacter (-0.0409),[990719] Christensenellaceae (-0.0332),[572511] Blautia (-0.033),[543] Enterobacteriaceae (0.0237),[33958] Lactobacillaceae (0.0237),[33042] Coprococcus (-0.0237),[613] Serratia (0.0237),[48736] Ralstonia (-0.0237),[508215] Rothia (0.0237),[848] Fusobacterium (0.0237),[447020] Adlercreutzia (-0.0237),[84111] Eggerthella (-0.0237),[283168] Odoribacter (-0.023),[171550] Rikenellaceae (-0.023),[1853231] Odoribacteraceae (-0.023),[216572] Oscillospiraceae (-0.0127),[853] Faecalibacterium prausnitzii (-0.0102),[186803] Lachnospiraceae (0.0102),[1929305] Pygmaiobacter (0.0102),[39488] Anaerobutyricum hallii (-0.01),[1506553] Lachnoclostridium (-0.01),[838] Prevotella (0.0),[41200] Bifidobacterium sp. (0.0),[91061] Bacilli (-0.0),[201174] Actinomycetota (0.0),[644652] Gordonibacter (0.0),[1573534] Faecalitalea (-0.0),[1224] Pseudomonadota (0.0),[292632] Subdoligranulum (-0.0),[1940255] Fournierella (0.0)
Cellobiose Digestion,metabolisms,[1870985] Arabiibacter massiliensis (0.0026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
